State_UT,District,Block_Mandal,Location,F (mg/L)
Andhra Pradesh,Adilabad,Dandepath,Narsapur,1.78
Andhra Pradesh,Adilabad,Jainath,Jainath,3.33
Andhra Pradesh,Adilabad,Jannaram,Jannaram,3.03
Andhra Pradesh,Anantapur,Gorantla,Govinavaripalli,3.88
Andhra Pradesh,Anantapur,Kadiri,Adivi Bramhanapalli,2.55
Andhra Pradesh,Anantapur,Kadiri,Alampur,3.09
Andhra Pradesh,Anantapur,Kalyandurg,Kalyandurg-Alt,3.4
Andhra Pradesh,Anantapur,Madakasira,Madakasira,1.9
Andhra Pradesh,Anantapur,Mudigubba,Malakavemula-Rs,1.65
Andhra Pradesh,Anantapur,N.P.Kunta,D.Cheruvu,1.56
Andhra Pradesh,Anantapur,Nallamada,Reddipalli,2.38
Andhra Pradesh,Anantapur,Narpala,Narpala,1.95
Andhra Pradesh,Anantapur,Parigi,Parigi,2.04
Andhra Pradesh,Anantapur,Singanamala,Budipally,3.14
Andhra Pradesh,Chittoor,Varadayyapalem,Gudisevaripalli,1.66
Andhra Pradesh,Guntur,Chebrolu,Vadlamudi,1.62
Andhra Pradesh,Guntur,Chilakaluripeta,Chilakaluripeta,1.55
Andhra Pradesh,Guntur,Macherla,Chintalatanda,1.63
Andhra Pradesh,Guntur,Piduguralla,Morjampadu,3.9
Andhra Pradesh,Hyderabad,Golconda,Sheikpet,1.7
Andhra Pradesh,Karimnagar,Gollapalli,Gollapalli,1.56
Andhra Pradesh,Karimnagar,Husnabad,Husnabad,1.51
Andhra Pradesh,Karimnagar,Koyyuru,Koyyuru,2
Andhra Pradesh,Khammam,Nelakondapalli,Sanjeevareddipalem,1.94
Andhra Pradesh,Krishna,A. Konduru,Gopalpuram,1.54
Andhra Pradesh,Krishna,A. Konduru,Kumarakumtla,1.64
Andhra Pradesh,Krishna,Kanchikacherla,Kanchikacherla,1.72
Andhra Pradesh,Krishna,Vissannapeta,Vissannapeta,1.67
Andhra Pradesh,Kurnool,Pyapalli,Yenugumarri,1.93
Andhra Pradesh,Kurnool,Veldurti,Veldurti,1.54
Andhra Pradesh,Mahbubnagar,Bomaraspet,Metlakunta,2
Andhra Pradesh,Mahbubnagar,Koilkonda,R.G.Tanda,1.5
Andhra Pradesh,Mahbubnagar,Manopad,Bonkur,1.5
Andhra Pradesh,Mahbubnagar,Pebbair,Kanchiraopalli,1.9
Andhra Pradesh,Medak,Cheguntla,Polampak,1.55
Andhra Pradesh,Medak,Narsingi,Narsingi,1.89
Andhra Pradesh,Nalgonda,Miryalaguda,Thugapadu,3.82
Andhra Pradesh,Nalgonda,Nidamanuru,Nidamanuru,1.59
Andhra Pradesh,Nellore,Balayapalli,Melchuru,2.64
Andhra Pradesh,Prakasam,Chimakurthi,Chimakurthi,1.57
Andhra Pradesh,Prakasam,Chinaganjam,Kadavakuduru,3.32
Andhra Pradesh,Prakasam,Darsi,Chandaluru,1.65
Andhra Pradesh,Prakasam,Hanumanthunipadu,Vemulapadu,2.1
Andhra Pradesh,Prakasam,Kanigiri,Ballipalli,1.9
Andhra Pradesh,Prakasam,Kanigiri,Kanigiri,5.81
Andhra Pradesh,Prakasam,Kurichedu,Vengiahpalem,2.19
Andhra Pradesh,Prakasam,Oletivaripalem,Malakonda,1.58
Andhra Pradesh,Prakasam,Podili,Podili,8.24
Andhra Pradesh,Prakasam,Podili,Tallamalla,3.8
Andhra Pradesh,Prakasam,Ponnaluru,Nagireddipalem,2.18
Andhra Pradesh,Prakasam,Tripuranthakam,G.Ummidivaram,2.08
Andhra Pradesh,Prakasam,Vellampalli,Vellampalli,2.19
Andhra Pradesh,Rangareddy,Basheerabad,Bashirabad,1.85
Andhra Pradesh,Rangareddy,Hayathnagar,Batasingaram,2.75
Andhra Pradesh,Visakhapatnam,Golugonda,Mallampet,1.6
Andhra Pradesh,Vizianagaram,Lakkavarapukota,Lingavarpukota,1.57
Andhra Pradesh,Warangal,Atmakur,Urugonda,2
Andhra Pradesh,Warangal,Mulugu,Mallampalli,1.7
Andhra Pradesh,Warangal,Narasampet,Narsampet,3.4
Andhra Pradesh,West Godavari,Lingapalem,Dharmajigudem,2.07
Andhra Pradesh,West Godavari,Lingapalem,Lingapalem,2.15
Assam,Goalpara,Dudhnoi,Dorrangiri,5.65
Assam,Kamrup,Greater Guwahati,Hatigaon,6.75
Assam,Kamrup,Greater Guwahati,Narangi H.School,3.25
Assam,Kamrup,Greater Guwahati,Rukmini Gaon,7.8
Assam,Kamrup,Greater Guwahati,"Sewalipath,Hatigaon",2.15
Assam,Kamrup,Greater Guwahati,"Sri P.H.B.Colony,Birkuchi",1.54
Assam,Karbi Anglong,Howraghat,Akashi Ganga,4.04
Assam,Karbi Anglong,Howraghat,Bokulia,1.52
Assam,Karbi Anglong,Howraghat,Centre Bazar,1.74
Assam,Karbi Anglong,Howraghat,Dengaon,3.5
Assam,Karbi Anglong,Howraghat,Disobai,1.6
Assam,Karbi Anglong,Howraghat,Dokmuka,2.5
Assam,Karbi Anglong,Howraghat,Eradiaghalpani,2.62
Assam,Karbi Anglong,Howraghat,Jamuna Jaipang,2.04
Assam,Karbi Anglong,Howraghat,Parakhowa,1.88
Assam,Karbi Anglong,Howraghat,Pub Dikharu,2.5
Assam,Karbi Anglong,Howraghat,Ratiagaon,4.13
Assam,Karbi Anglong,Howraghat,Tekegaon,4
Assam,Karbi Anglong,Langsomepi,Amlakhi,1.62
Assam,Karbi Anglong,Langsomepi,Kheroni,3.6
Assam,Karbi Anglong,Langsomepi,Longnit,15.4
Assam,Karbi Anglong,Langsomepi,Ramsapathar,20.6
Assam,Karbi Anglong,Lumbajong,Baghpani,9
Assam,Karbi Anglong,Lumbajong,Jaisuguri,2
Assam,Karbi Anglong,Lumbajong,Manjha,1.88
Assam,Karbi Anglong,Lumbajong,Rongkanthir,2.6
Assam,Karbi Anglong,Samalangso,Garam Pani,6
Assam,Karbi Anglong,Samalangso,Phongbirik,3.04
Assam,Karbi Anglong,Samalangso,Rangitta,1.7
Assam,Karbi Anglong,Samalangso,Samtarogaon,2.2
Assam,Karbi Anglong,Samalangso,Sarsobey,1.7
Assam,Karbi Anglong,Samalangso,Sonapur,5.25
Assam,Nagaon,Jugijar,Jamunimukh,3.5
Assam,Nagaon,Jugijar,Jaynagar,4.25
Bihar,Aurangabad,Deo,Deo,2.62
Bihar,Aurangabad,Madanpur,Madanpur,2.2
Bihar,Banka,Bausi,Baunsi,1.95
Bihar,Buxar,Rajpur,Rajpur,1.82
Bihar,Jamui,Jamui,Navinagar,2.85
Bihar,Kaimur(Bhabua),Bhagwanpur,Bhagwanpur,2.46
Bihar,Kaimur (Bhabua),Nauwan,Nauwan,1.83
Bihar,Kaimur (Bhabua),Ramgarh,Bandipur,1.72
Bihar,Munger,Haveli Kharagpur,Khaira,2.21
Bihar,Munger,Haveli Kharagpur,Raghunathpur,2.27
Bihar,Nawada,Roh,Roh,1.7
Bihar,Rohtas,Dawath,Maliabagh,1.7
Bihar,Rohtas,Kudra,Rajandih,1.79
Bihar,Rohtas,Nasriganj,Nasriganj,1.94
Bihar,Supaul,Basantpur,Balua,1.87
Chhattisgarh,Bastar,Kondagaon,Chimpawad,1.8
Chhattisgarh,Bastar,Kondagaon,Joba,2.1
Chhattisgarh,Bilaspur,Marwahi,Dhanpur,2.3
Chhattisgarh,Dantewada,Katekalyan,Kukanar,1.78
Chhattisgarh,Janjgir-Champa,Malkharoda,Davarghata,2
Chhattisgarh,Jashpur,Bagicha,Maini,2.1
Chhattisgarh,Kanker,Charama,Lakhanpuri,2
Chhattisgarh,Kanker,Kanker,Kanker,2.2
Chhattisgarh,Korba,Khatghora,Chaitama,1.5
Chhattisgarh,Koriya,Manindragarh,Manindragarh,2.7
Chhattisgarh,Mahasamund,Pithora,Deori(Bhagat),1.5
Chhattisgarh,Raipur,Deobhog,Gohrapadar,1.6
Chhattisgarh,Raipur,Gariaband,Joba,2
Chhattisgarh,Raipur,Mainpur,Burgal Tappa,2.2
Chhattisgarh,Rajnandgaon,Khairagarh,Baigatola,1.5
Chhattisgarh,Surguja,Ramanuj Nagar,Dhamni,1.8
Delhi,East Delhi,East Delhi,Akshardham S Pz,1.95
Delhi,New Delhi,New Delhi,India Gate,2.7
Delhi,North West Delhi,North West Delhi,Katlupur,1.62
Delhi,North West Delhi,North West Delhi,Kherakalan,4.42
Delhi,North West Delhi,North West Delhi,Majara Dabas,1.58
Delhi,North West Delhi,North West Delhi,Puthkalan,6.1
Delhi,South Delhi,South Delhi,Mandi Pz,1.9
Delhi,South West Delhi,South West Delhi,Chawla,5.12
Delhi,South West Delhi,South West Delhi,Goela Khurd (Dairy),1.94
Delhi,South West Delhi,South West Delhi,Kharkhari Nahar,2.83
Delhi,West Delhi,West Delhi,Peeragarhi,1.57
Delhi,West Delhi,West Delhi,Tagore Garden,1.95
Delhi,West Delhi,West Delhi,Tikri Kalan,2.51
Delhi,West Delhi,West Delhi,Tilangpur Kotla Dw,1.95
Gujarat,Ahmedabad,Barwala,Barvala,3.11
Gujarat,Ahmedabad,Dhandhuka,Devalia,3.68
Gujarat,Ahmedabad,Dhandhuka,Dhandhuka1,5.47
Gujarat,Ahmedabad,Dhandhuka,Tagadi1,1.7
Gujarat,Ahmedabad,Mandal,Dalod,3.6
Gujarat,Ahmedabad,Viramgam,Kumarkhan,4.1
Gujarat,Amreli,Jafrabad,Lotpur,1.87
Gujarat,Amreli,Lathi,Luvariya,2.23
Gujarat,Amreli,Rajula,Victor,2.8
Gujarat,Anand,Petlad,Dharmaj,2.3
Gujarat,Banaskantha,Dantiwada,Jorapura,2.3
Gujarat,Banaskantha,Dantiwada,Moti Mahudi,2.9
Gujarat,Banaskantha,Dantiwada,Sodapur,1.6
Gujarat,Banaskantha,Tharad,Vadgamda,2.4
Gujarat,Bharuch,Anklesvar,Panoli,1.6
Gujarat,Bharuch,Bharuch,Mahegam1,2.85
Gujarat,Bhavnagar,Mahuva,Mahuva1,1.98
Gujarat,Bhavnagar,Palitana,Khijadiya,1.6
Gujarat,Bhavnagar,Vallabhipur,Lonjdhara,1.95
Gujarat,Bhavnagar,Vallabhipur,Panvi1,1.7
Gujarat,Dohad,Devgad Baria,Dabhava,2.3
Gujarat,Dohad,Devgad Baria,Khandania,1.6
Gujarat,Dohad,Dohad,Dahod2,2.7
Gujarat,Dohad,Dohad,Varamkheda,1.7
Gujarat,Dohad,Garbada,Garbara,4.6
Gujarat,Dohad,Garbada,Panchwada,1.6
